Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbols,Type
IUSQ,50,0.1,0,0,0.01,0.009,0,2,1,0.02,IUSQ-STK-SMART/-EUR!YAHOO:IUSQ.F,2
HYLD,50,0.1,0,0,0.01,0.010,0,2,1,0.02,HYLD-STK-IBIS2/-EUR!STOOQ:HYLD.UK,1
EXV4,50,0.1,0,0,0.01,0.009,0,2,1,0.02,EXV4-STK-SMART/-EUR!YAHOO:EXV4.DE,0
#EXV7,50,0.1,0,0,0.01,0.009,0,2,1,0.02,EXV7-STK-SMART/-EUR!YAHOO:EXV7.F,0
EXV8,50,0.1,0,0,0.01,0.009,0,2,1,0.02,EXV8-STK-SMART/-EUR!YAHOO:EXV8.F,0
TNOW,50,0.1,0,0,0.01,0.010,0,2,1,0.02,TNOW-STK-SMART/-USD!STOOQ:TNOW.UK,0
EL4C,50,0.1,0,0,0.01,0.009,0,2,1,0.02,EL4C-STK-SMART/-EUR!YAHOO:EL4C.F,2
IUSA,50,0.1,0,0,0.01,0.008,0,2,1,0.02,IUSA-STK-SMART/-GBP!STOOQ:IUSA.UK,3
C076,50,0.1,0,0,0.01,0.010,0,2,1,0.02,C076-STK-SMART/IBIS-EUR!YAHOO:C076.DE,0
PHAU,50,0.1,0,0,0.01,0.01,0,2,1,0.02,PHAU-STK-SMART/LSE-USD!STOOQ:PHAU.UK,2
D3V3,50,0.1,0,0,0.01,0.01,0,2,1,0.02,D3V3-STK-SMART/IBIS-EUR!YAHOO:D3V3.DE,1
